Saving all output to "/usr/hdp/2.6.3.0-235/phoenix/bin/../../../../../home/user03/USER03Q1.csv". Enter "record" with no arguments to stop it.
'NAME','CITY','STATE','STARS'
'John's Chinese BBQ Restaurant','Richmond Hill','ON','3.0'
'Sainsbury's','Edinburgh','EDH','4.0'
'Primal Brewery','Huntersville','NC','4.0'
'The UPS Store','Phoenix','AZ','3.5'
'Valley Bone and Joint Specialists','Gilbert','AZ','4.5'
'Anesthesia Associates','Henderson','NV','1.5'
'Great Clips','Tempe','AZ','3.5'
'Dove Cleaners','Toronto','ON','3.0'
'Delmonico Steakhouse','Las Vegas','NV','4.0'
'Valley Wide Moving Company','Mesa','AZ','1.5'
'Sunnyside Grill','Toronto','ON','3.5'
'Speedway Harley Davidson','Concord','NC','3.0'
'World Food Championships','Las Vegas','NV','3.0'
'Purrfect Auto Service','Las Vegas','NV','3.0'
'MV Nail Spa','North Olmsted','OH','3.0'
'Kabob Express','Laveen Village','AZ','4.5'
'Bath & Body Works','Charlotte','NC','4.0'
'Lippincott Van Lines/Southern Nevada Movers','North Las Vegas','NV','2.0'
'The Bar At Bermuda & St. Rose','Henderson','NV','3.5'
'Hurst Bakery','Aurora','ON','4.0'
'Welch Physical Therapy','Gilbert','AZ','3.5'
'Hampton Inn by Hilton','Mississauga','ON','2.5'
'Mm Mm Pizza','Canonsburg','PA','4.0'
'The Guitar Dog','Phoenix','AZ','5.0'
'Happy Moose Bar and Grill','Streetsboro','OH','3.5'
'Shears and Beards','Las Vegas','NV','4.5'
'Hungry Howie's Pizza','Charlotte','NC','3.0'
'Rincon Ventures','Tempe','AZ','2.5'
'Sam's Club','Scottsdale','AZ','3.0'
'On Q Property Management','Gilbert','AZ','3.5'
'International Newsagents','Edinburgh','EDH','4.0'
'Park For U','Mississauga','ON','3.5'
'KFC','Brunswick','OH','2.0'
'Playful Minds','Toronto','ON','4.5'
'Don Valley North Toyota Scion Service','Markham','ON','3.5'
'Choice Transmission & Complete Auto Care','Gilbert','AZ','4.0'
'Circle K','Phoenix','AZ','3.5'
'Meital Amrami - My Home Group','Scottsdale','AZ','5.0'
'Denny's','Highland Heights','OH','2.0'
'East Wind Nannies','Pittsburgh','PA','2.5'
'Keung Kee Restaurant','Toronto','ON','3.5'
'Valley Spine & Health Center','Las Vegas','NV','4.0'
'The Greens','Henderson','NV','2.0'
'The Cashmere Shop','Toronto','ON','5.0'
'Charlotte Root Canal Center','Charlotte','NC','3.5'
'Ten Pin Alley','Madison','WI','3.5'
'SAE Institute','Stuttgart','BW','4.5'
'Tropicana LV Weddings','Las Vegas','NV','3.5'
'Dial Carpet Cleaning','Las Vegas','NV','5.0'
'Starbucks','Richmond Hill','ON','3.5'
'Pinnacle Restoration','Las Vegas','NV','5.0'
'Dollar Rent A Car','Las Vegas','NV','1.0'
'Famous Footwear','Tempe','AZ','4.0'
'Studio 924 Hair Designs','Madison','WI','4.0'
'Pio Pio','Charlotte','NC','4.0'
'Olde 8 Automotive','Northfield','OH','5.0'
'Eazor's Auto Salon','Pittsburgh','PA','5.0'
'The Fresh Market','Charlotte','NC','4.0'
'Howl at the Moon','Pittsburgh','PA','3.0'
'AmeriPride','Phoenix','AZ','1.0'
'Lucky's Pet Grooming & Boutique','Las Vegas','NV','3.5'
'Mandalay Bay Events Center','Las Vegas','NV','3.5'
'Lake Erie Nature & Science Center','Bay Village','OH','4.5'
'Roberto Cavalli','Las Vegas','NV','3.5'
'Q's Nails','Charlotte','NC','4.0'
'Columbus Bakery','Mississauga','ON','3.0'
'The Manor - Boutique Salon','Toronto','ON','4.5'
'Nook CafΓ©','Las Vegas','NV','3.5'
'Nightlife Tours','Las Vegas','NV','3.5'
'Cleveland Indians','Cleveland','OH','4.0'
'Advantage Rent-A-Car','Phoenix','AZ','2.5'
'Pita Kabob Grill','Glendale','AZ','4.5'
'Maricopa County Department of Public Health','Phoenix','AZ','4.5'
'Mi Peru South American Grill','Henderson','NV','4.0'
'Santa Claus Parade','North York','ON','3.0'
'Arizona Auto Wash','Tempe','AZ','3.0'
'Bella Vista','Stuttgart','BW','3.5'
'Integrated Pain Consultants - Mesa','Mesa','AZ','5.0'
'Pearson Moving','Chandler','AZ','4.5'
'Great Clips','Charlotte','NC','4.0'
