Saving all output to "/usr/hdp/2.6.3.0-235/phoenix/bin/../../../../../home/user03/USER03Q3.csv". Enter "record" with no arguments to stop it.
'CATEGORIES','SUM'
'Active Life','6'
'Appliances & Repair','21'
'Bespoke Clothing','28'
'Buses','6'
'Dance Clubs','16'
'Data Recovery','13'
'Electronics Repair','15'
'Event Photography','32'
'Event Planning & Services','44'
'Gardeners','3'
'Heating & Air Conditioning/HVAC','38'
'Home Services','67'
'IT Services & Computer Repair','28'
'Keys & Locksmiths','4'
'Local Services','104'
'Mobile Phone Accessories','4'
'Mobile Phone Repair','7'
'Office Cleaning','41'
'Party & Event Planning','5'
'Pest Control','4'
'Photo Booth Rentals','5'
'Photographers','8'
'Professional Services','6'
'Screen Printing/T-Shirt Printing','2E+1'
'Video/Film Production','7'
'Web Design','17'
'Wedding Planning','6'
'Wildlife Control','18'
28 rows selected (10.57 seconds)
