Saving all output to "/usr/hdp/2.6.3.0-235/phoenix/bin/../../../../../home/user03/USER03Q5.csv". Enter "record" with no arguments to stop it.
'WEEKDAY','HOUR','CHEKIN_SUM'
'Fri','0:00','-1417370624396246270'
'Fri','10:00','-2467078049614685909'
'Fri','11:00','-4237255666116178666'
'Fri','12:00','-1492622074700605077'
'Fri','13:00','-5322522021874767721'
'Fri','14:00','3076922847436998031'
'Fri','15:00','-6793442178647478453'
'Fri','16:00','-7905722513765240609'
'Fri','17:00','3344886386154144925'
'Fri','18:00','-3587074727623455577'
'Fri','19:00','2921354984528627478'
'Fri','1:00','2522030492676880481'
'Fri','20:00','9078188404836207127'
'Fri','21:00','-8416689629514795654'
'Fri','22:00','-7501937109473570241'
'Fri','23:00','4328712554022827662'
'Fri','2:00','5255725033373349230'
'Fri','3:00','-3240843688661426702'
'Fri','4:00','1833103417052021307'
'Fri','5:00','1514679568227386557'
'Fri','6:00','4929081050050293919'
'Fri','7:00','3694199037037365236'
'Fri','8:00','-7579667321360921564'
'Fri','9:00','-8965442470851599249'
'Mon','0:00','6954713123218190803'
'Mon','10:00','6623362288776370584'
'Mon','11:00','6037225828281724575'
'Mon','12:00','1961398300369240291'
'Mon','13:00','-6024871914183425817'
'Mon','14:00','7894877312759744717'
'Mon','15:00','-8214103616768083805'
'Mon','16:00','5372681384550555221'
'Mon','17:00','1584574800473346842'
'Mon','18:00','5593688503893960930'
'Mon','19:00','-8463351446025009650'
'Mon','1:00','3034237065548858402'
'Mon','20:00','3687232535200150669'
'Mon','21:00','-4053406402069933834'
'Mon','22:00','804774390416509669'
'Mon','23:00','-6192877508126097057'
'Mon','2:00','-355204080481773006'
'Mon','3:00','-7888469414111412891'
'Mon','4:00','-5257012723672360170'
'Mon','5:00','3523840001419055768'
'Mon','6:00','-2969316480363041216'
'Mon','7:00','6350791199165990420'
'Mon','8:00','-3156879877242189942'
'Mon','9:00','118180392549379948'
'Sat','0:00','-3679487502648448821'
'Sat','10:00','-2822588655247700771'
'Sat','11:00','-7368634988009290806'
'Sat','12:00','2486349850141454946'
'Sat','13:00','4708367415898877116'
'Sat','14:00','2806015228598557219'
'Sat','15:00','-7238069549361263711'
'Sat','16:00','-2261160257894998104'
'Sat','17:00','-9006845675265101979'
'Sat','18:00','331242757922805221'
'Sat','19:00','3397062660080124255'
'Sat','1:00','-6783414734372021541'
'Sat','20:00','3203341869927778027'
'Sat','21:00','-8365015412223713694'
'Sat','22:00','-2266286035823356793'
'Sat','23:00','-4875461623011021460'
'Sat','2:00','-3602589190295285743'
'Sat','3:00','-8725297266252035162'
'Sat','4:00','8441252275848641646'
'Sat','5:00','1064747675621706764'
'Sat','6:00','-2493218809673382701'
'Sat','7:00','-2882783472668138788'
'Sat','8:00','5703336784084684769'
'Sat','9:00','-1429313744719616671'
'Sun','0:00','2327450576595494360'
'Sun','10:00','1602085827064425670'
'Sun','11:00','7839374896948188535'
'Sun','12:00','-3086839939137608030'
'Sun','13:00','-5431771991895980464'
'Sun','14:00','-2732629316316542725'
'Sun','15:00','8147651757807170047'
'Sun','16:00','-6960648446358184698'
'Sun','17:00','-2300951033774540297'
'Sun','18:00','9126288023124052090'
'Sun','19:00','-7360901178047856945'
'Sun','1:00','-1067819547601711871'
'Sun','20:00','-1385989493156699825'
'Sun','21:00','8398095344383654896'
'Sun','22:00','1059021215583288186'
'Sun','23:00','-452189718392047779'
'Sun','2:00','-277888261124670318'
'Sun','3:00','-7001707034993797599'
'Sun','4:00','-2557749068505037990'
'Sun','5:00','7941780629378058029'
'Sun','6:00','8736345678019936849'
'Sun','7:00','-86552495026466460'
'Sun','8:00','5414783577022053247'
'Sun','9:00','5542694501111310453'
'Thu','0:00','6610895089704280666'
'Thu','10:00','3993585467948905612'
'Thu','11:00','1212292805434265990'
'Thu','12:00','-5059608808803846203'
'Thu','13:00','8881969120286772333'
'Thu','14:00','4314647133828838196'
'Thu','15:00','-1285974753883294720'
'Thu','16:00','4301305403884360368'
'Thu','17:00','616842914225101594'
'Thu','18:00','-5675793745880988687'
'Thu','19:00','5950398319979715074'
'Thu','1:00','-6982333740996674547'
'Thu','20:00','3488586900995393311'
'Thu','21:00','-760598092260720387'
'Thu','22:00','9008531863861037122'
'Thu','23:00','2568189105275390188'
'Thu','2:00','9021918542141959856'
'Thu','3:00','733200488013157873'
'Thu','4:00','6467303517364084444'
'Thu','5:00','-1108130563632696906'
'Thu','6:00','-6089563853316324896'
'Thu','7:00','8225242753912414138'
'Thu','8:00','-5295180745514953695'
'Thu','9:00','-7926830404244230806'
'Tue','0:00','1928367089254657715'
'Tue','10:00','-257826167916383738'
'Tue','11:00','-7486074366653178266'
'Tue','12:00','-5099355401212201234'
'Tue','13:00','-7511469854369840377'
'Tue','14:00','1521888124691710230'
'Tue','15:00','-4903610709820118527'
'Tue','16:00','-1044312398764712946'
'Tue','17:00','-4298274060914798138'
'Tue','18:00','-1374212693802938019'
'Tue','19:00','-6729495220504948366'
'Tue','1:00','4887164825491526454'
'Tue','20:00','-1347415650771778200'
'Tue','21:00','-7336051552958341357'
'Tue','22:00','3182560312775826169'
'Tue','23:00','-4648395863943936294'
'Tue','2:00','-7110387273925120688'
'Tue','3:00','-4228947777891086194'
'Tue','4:00','-2884624194521469739'
'Tue','5:00','-4174156211764621163'
'Tue','6:00','-5863089740304317581'
'Tue','7:00','4370977845756103282'
'Tue','8:00','1608722422819826199'
'Tue','9:00','2078943272019775543'
'Wed','0:00','-6785356082734735782'
'Wed','10:00','7502156535625291415'
'Wed','11:00','3618478532757783283'
'Wed','12:00','-4901562258099730653'
'Wed','13:00','-5252720972239222059'
'Wed','14:00','-7783042486892568051'
'Wed','15:00','3537366490021820076'
'Wed','16:00','-3636234762703801770'
'Wed','17:00','1987576219243914971'
'Wed','18:00','-4520400142528943335'
'Wed','19:00','6435012304704086441'
'Wed','1:00','-1321628093973860984'
'Wed','20:00','801391011723638085'
'Wed','21:00','-5800255002805884465'
'Wed','22:00','-6021613977887947144'
'Wed','23:00','-480243080863284666'
'Wed','2:00','3863694322969892989'
'Wed','3:00','-1643847159499917273'
'Wed','4:00','7085053972986688715'
'Wed','5:00','4757791448836619181'
'Wed','6:00','-860315227495377535'
'Wed','7:00','-1271485067465919782'
'Wed','8:00','7992574042810115644'
'Wed','9:00','-8118916583151141436'
'weekday','hour','-2060285351843762573'
169 rows selected (12.805 seconds)
