Saving all output to "/usr/hdp/2.6.3.0-235/phoenix/bin/../../../../../home/user03/USER03Q7.csv". Enter "record" with no arguments to stop it.
'BASE".NAM','BASE".NEIGHBORHOO','BASE".ADDRES','BASE".CIT','BASE".STAT','BASE".POSTALCOD','BASE".LATITUD','BASE".LONGITUD','BASE".STAR','BASE".REVIEWCOUN','BASE".ISOPE','BASE".CATEGORIE','CHEKIN_SUM'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','21249'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','15131'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','10028'
'The Venetian Las Vegas','The Strip','3355 South Las Vegas Boulevard','Las Vegas','NV','89109','36.121.189','-115.169.657','4.0','3101','1','Casinos','7231'
'Earl of Sandwich','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.082.280.659','-115.171.869','4.5','4869','1','Caterers','7075'
'ARIA Resort & Casino','The Strip','3730 Las Vegas Blvd S','Las Vegas','NV','89109','36.107.621','-11.517.704','3.5','3794','1','Event Planning & Services','6862'
'MGM Grand Hotel','The Strip','3799 Las Vegas Blvd S','Las Vegas','NV','89109','361.022.507','-1.151.699.679','3.0','3444','1','Restaurants','6255'
'Bellagio Hotel','The Strip','3600 S Las Vegas Blvd','Las Vegas','NV','89109','361.140.656','-1.151.730.043','3.5','2780','1','Hotels','5948'
'Charlotte Douglas International Airport','','5501 Josh Birmingham Pkwy','Charlotte','NC','28208','352.205.594','-809.438.737','3.5','1586','1','Hotels & Travel','5913'
'Planet Hollywood Las Vegas Resort & Casino','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.096.884.078','-115.170.142.948','3.0','2681','1','Hotels','5.91E+3'
'Caesars Palace Las Vegas Hotel & Casino','The Strip','3570 Las Vegas Blvd S','Las Vegas','NV','89109','36.116.765','-115.174.595','3.0','2393','1','Casinos','5857'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','5635'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','5562'
'Mandalay Bay Resort & Casino','The Strip','3950 S Las Vegas Blvd','Las Vegas','NV','89109','36.091.895','-115.175.256','3.5','2687','1','Casinos','5.2E+3'
'The Palazzo Las Vegas','The Strip','3325 South Las Vegas Boulevard','Las Vegas','NV','89109','361.239.419.536','-115.167.752.796','4.0','2248','1','Event Planning & Services','5197'
'Wicked Spoon','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.538','-11.517.617','3.5','5950','1','Buffets','4848'
'Wynn Las Vegas','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','36.127.684','-115.165.905','4.0','2441','1','Casinos','4615'
'Marquee Nightclub & Dayclub','The Strip','3708 S Las Vegas Blvd','Las Vegas','NV','89109','36.109.453','-115.174.223','3.5','2130','1','Music Venues','4331'
'Mon Ami Gabi','The Strip','3655 Las Vegas Blvd S','Las Vegas','NV','89109','361.128.270.642','-115.172.581.497','4.0','7361','1','French','4.33E+3'
'Town Square Las Vegas','Southeast','6605 Las Vegas Blvd S','Las Vegas','NV','89119','360.671.511','-1.151.757.889','4.0','503','1','Shopping Centers','4168'
