@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R2,4-6,8-11,13-14,16-17,19-21,23-24-weka.filters.unsupervised.instance.Resample-S1-Z25.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2,6'

@attribute V3 numeric
@attribute V12 numeric
@attribute V15 numeric
@attribute V18 numeric
@attribute Class {1,2,3,4}

@data
2.7,1.157,5,0.755,1
1.434,0.864,5,0.502,2
1.384,2.192,5,0.664,1
1.56,1.589,1.293,0.6,1
1.917,2.608,4.397,0.672,1
2.443,2.808,0.933,0.745,4
5,1.722,0.968,0.776,1
5,1.554,1.347,0.48,4
1.156,1.032,0.905,0.65,1
5,0.823,0.86,0.582,2
5,1.868,2.025,0.495,1
2.341,1.179,1.444,0.617,1
5,0.929,0.91,0.719,2
2.678,1.076,1.15,0.684,1
1.865,1.75,1.259,0.645,1
2.407,1.818,0.778,0.356,2
1.498,1.538,5,0.72,1
5,1.968,2.033,0.529,1
2.144,1.632,1.556,1.413,3
1.494,2.039,2.081,0.633,1
1.312,5,0.794,1.01,2
0.869,1.451,5,0.763,1
2.668,1.277,0.881,0.798,2
1.986,2.223,5,0.388,4
1.49,1.553,1.834,0.749,1
1.415,1.432,1.433,0.488,4
1.627,5,5,0.661,1
2.733,1.705,0.803,0.821,2
5,0.974,0.952,0.773,1
1.485,1.492,0.805,0.5,2
2.016,1.592,5,1.446,3
1.358,2.433,5,0.52,1
1.385,5,0.879,1.063,2
1.426,0.836,2.519,0.429,2
5,2.007,3.32,0.536,1
1.832,1.727,1.859,0.47,4
3.835,1.11,1.441,0.725,1
2.229,1.558,1.181,1.245,3
1.673,1.849,1.845,0.562,1
4.925,0.812,0.862,0.58,2
1.939,2.814,0.936,0.747,4
1.6,5,1.256,0.61,1
5,1.779,5,0.867,1
2.165,0.799,0.805,0.923,2
2.594,1.136,0.821,1.013,2
1.413,3.921,0.869,0.881,2
1.833,1.708,1.85,0.456,4
5,1.499,1.304,0.49,4
1.435,5,1.557,0.487,4
1.311,1.004,0.805,0.663,2
5,1.04,0.565,0.794,2
1.366,0.804,1.089,0.609,2
4.128,0.826,1.091,0.578,2
5,1.527,1.53,0.505,4
2.076,1.425,1.332,5,3
5,0.997,5,0.697,1
1.956,1.674,1.203,0.67,1
1.348,1.742,0.798,0.82,2
5,1.662,1.274,1.274,3
2.208,0.852,0.824,0.692,2
1.337,2.26,4.895,0.682,1
1.768,1.502,1.438,0.493,4
2.087,1.715,1.646,1.421,3
2.013,1.62,1.419,1.445,1
5,0.869,1.099,0.49,2
5,1.373,0.808,0.825,2
4.751,0.807,1.11,0.617,2
2.646,0.878,0.81,0.813,2
1.367,5,0.878,1.103,2
1.392,2.188,0.78,0.68,2
2.642,3.837,0.768,0.405,2
0.796,1.554,0.78,0.746,2
1.566,1.635,1.664,0.461,4
3.865,1.125,5,0.67,1
2.375,1.113,5,0.598,1
5,1.91,3.259,0.519,1
5,1.356,1.04,0.914,1
2.569,3.883,0.831,0.77,2
1.671,1.52,1.456,0.491,4
1.7,1.725,5,0.568,1
1.794,1.843,1.203,0.593,1
2.63,0.88,0.779,0.866,2
2.327,3.869,1.07,0.904,3
2.643,1.62,0.778,0.866,2
1.51,0.843,1.083,0.483,2
1.64,5,5,0.666,1
1.528,5,5,0.851,1
2.641,1.621,0.776,0.849,2
1.64,5,5,0.646,1
0.522,1.643,1.702,0.476,4
5,1.724,0.765,0.473,2
2.25,1.318,1.184,2.326,1
2.392,5,5,0.506,1
1.399,1.577,0.851,0.476,2
1.178,1.096,0.96,0.648,1
4.953,0.812,1.049,0.527,2
3.193,1.814,3.127,0.475,2
1.392,1.433,1.423,0.476,4
5,1.463,1.278,0.496,4
5,1.73,5,0.907,3
2.801,1.344,1.327,0.515,4
5,1.709,0.756,0.459,2
2.709,2.049,1.77,5,1
3.692,1.268,1.554,0.769,1
2.882,1.563,0.78,1.144,2
2.547,2.569,5,0.748,1
5,2.092,3.337,0.572,1
1.732,0.83,1.069,0.956,2
1.392,0.779,1.074,0.603,2
1.462,5,5,0.821,1
2.061,1.689,1.36,2.731,1
4.129,0.825,0.886,0.578,2
1.701,2.84,5,0.606,1
5,1.272,1.238,0.552,1
2.475,1.015,5,0.551,1
2.124,1.948,1.307,2.411,3
1.818,1.821,1.3,0.617,1
2.619,3.852,0.79,0.893,2
1.967,1.804,1.872,1.431,3
2.913,1.573,1.066,1.328,1
2.418,1.812,0.785,0.374,2
1.747,1.858,5,0.562,1
5,1.323,0.663,0.982,2
2.447,1.772,0.774,0.808,2
1.573,0.824,1.059,0.982,2
1.331,1.574,0.793,0.822,2
2.713,1.039,1.021,0.695,1
1.553,5,1.387,0.524,4
2.505,2.722,5,0.727,4
1.286,0.864,0.84,0.82,2
1.897,1.636,5,0.49,2
1.166,2.575,3.7,0.664,1
0.929,5,5,0.687,1
1.914,2.465,3.616,0.637,1
1.442,1.559,1.56,0.536,4
1.268,2.458,4.899,0.759,1
1.364,0.804,1.088,0.607,2
1.998,2.826,5,0.767,4
1.256,2.476,4.92,0.763,1
1.425,2.15,5,0.664,1
2.651,1.373,0.825,0.834,2
2.195,1.61,1.222,1.252,3
1.31,1.586,4.921,0.721,1
1.416,1.416,1.392,0.486,4
2.05,2.658,5,0.6,1
5,1.471,1.273,0.475,4
1.463,0.861,0.593,0.473,2
5,1.706,1.637,1.422,1
4.734,0.906,1.129,0.569,2
2.463,0.789,5,0.907,2
3.788,1.166,1.057,0.741,1
2.914,2.141,5,0.585,1
1.941,1.82,5,1.4,3
1.717,1.799,5,0.57,1
5,1.386,0.904,0.751,1
1.662,1.038,5,0.933,3
1.603,2.042,1.38,0.567,1
5,0.813,0.798,0.777,2
1.326,1.536,1.533,0.585,1
1.276,0.896,1.145,0.579,2
3.123,1.859,2.032,0.526,1
1.462,1.546,1.468,0.488,4
3.255,1.725,0.766,0.478,2
1.959,1.649,1.206,0.695,1
1.503,2.16,0.819,0.656,2
5,1.593,1.601,0.505,4
1.6,5,1.379,0.571,1
2.591,1.137,0.818,1.009,2
1.562,1.574,1.132,0.473,4
1.441,5,0.829,0.85,2
2.882,1.798,0.783,0.857,2
1.417,1.449,1.437,0.556,1
2.391,0.836,0.81,0.698,2
2.071,0.893,0.913,0.977,2
5,1.395,0.765,0.791,2
2.592,1.141,0.813,1.007,2
1.306,1.54,0.812,0.874,2
1.336,2.262,4.896,0.683,1
1.428,1.547,1.098,0.486,4
5,1.717,0.584,0.48,2
5,1.53,1.471,0.493,4
1.441,2.071,4.83,0.652,1
1.47,5,1.467,0.499,4
2.181,1.653,1.221,5,3
2.026,1.743,1.677,1.424,3
1.592,2.184,5,5,4
1.933,1.707,1.204,0.635,1
1.413,1.624,0.869,0.485,2
1.587,0.842,0.973,0.914,2
1.547,1.632,1.194,0.462,4
2.408,4.86,1.577,0.781,1
2.106,2.054,1.3,5,3
1.371,1.63,1.193,0.459,4
1.379,5,0.853,0.496,2
1.412,0.85,5,0.516,2
1.491,2.071,1.339,0.614,1
2.054,1.979,1.369,2.733,1
1.244,1.65,0.908,0.732,1
4.774,0.839,1.086,0.562,2
2.108,1.517,1.116,0.737,1
5.023,1.641,1.756,0.475,4
3.213,1.774,0.816,0.496,2
1.438,0.823,5,0.446,2
4.033,0.996,0.886,0.638,2
1.273,0.898,1.157,0.573,2
1.939,2.813,0.935,0.747,4
2.887,0.831,0.792,0.811,2
2.499,2.158,1.907,5,1
5,0.874,0.852,0.767,2
1.709,2.867,5,0.604,1
2.15,2.533,5,0.543,1
5,1.988,0.794,0.754,2
1.562,5,5,0.807,1
1.489,0.834,1.079,0.47,2
4.032,0.946,0.816,0.613,2
2.559,2.554,5,0.742,1
5,1.397,1.405,0.511,1
2.647,1.187,0.768,0.828,2
1.854,1.625,0.855,0.506,2
2.455,2.678,5,0.793,1
1.898,1.634,5,0.488,2
1.396,1.61,0.905,0.5,2
1.838,1.731,1.867,0.482,4
1.49,5,5,0.855,1
4.015,1.044,0.894,0.649,2
2.531,2.582,5,0.699,1
5,1.712,1.731,0.421,4
0.52,1.643,1.758,0.475,4
1.626,2.138,5,5,4
0.824,1.535,1.814,0.75,1
1.531,2.117,1.335,0.52,4
2.501,1.024,0.554,0.783,2
5,1.098,1.084,0.654,1
3.623,1.386,1.643,0.737,1
2.184,1.613,1.242,2.297,3
1.866,2.66,5,0.697,1
1.647,5,5,0.655,1
2.607,1.161,0.823,0.978,2
1.686,5,5,0.627,1
2.172,1.142,5,1.601,3
2.757,1.551,0.783,0.8,2
2.568,3.869,0.839,0.814,2
1.391,2.186,0.9,0.661,2
5,1.676,1.703,0.483,4
2.072,1.933,1.372,1.366,1
1.754,2.539,5,0.558,1
1.726,1.293,5,0.624,1
5,1.787,0.815,0.786,2
2.623,0.849,0.821,0.921,2
0.504,5,5,0.833,1
0.731,1.581,5,0.741,1
1.578,5,0.873,0.701,2
2.633,3.83,0.77,0.902,2
5,1.486,1.473,0.623,1
2.42,2.985,0.776,0.375,2
1.391,1.037,5,0.431,2
